"";"en";"de";
"really_kill_text";"Do you really want to cancel the file recovery?";"Wollen Sie die Datenrettung wirklich abbrechen?";
"really_kill_title";"Really cancel?";"Wirklich abbrechen?";
"search_cancelled_text";"File recovery was cancelled.";"Die Datenrettung wurde abgebrochen.";
"search_cancelled_title";"Cancelled";"Abgebrochen";
"search_done_text";"File recovery successfully finished. Change to the desktop mode or boot another operating system to view the recovered filed";"Die Datenrettung wurde erfolgreich durchgeführt. Bitte wechseln Sie in den Desktopmodus oder starten Sie Windows, um die geretteten Dateien zu öffnen.";
"search_done_title";"Done";"Fertig";
"srctgt_nomatch_title";"Invalid target";"Ungültiges Ziel";
"srctgt_nomatch_text";"Source and target must be on different devices!";"Quelle und Ziel müssen auf unterschiedlichen Laufwerken liegen!";
"tgt_mountfail_title";"Mount failed";"Laufwerkseinbindung fehlgeschlagen";
"tgt_mountfail_text";"Mounting the target device failed. This is usually caused by a damaged filesystem or active hibernation.";"Die Einbindung des Ziellaufwerkes ist fehlgeschlagen. Ursache hierfür ist meist ein beschädigtes Dateisystem oder aktives Hibernation.";
"backup_medium";"Backup partition";"Backup-Laufwerk";
"reread";"Reread drives";"Neu einlesen";
"rescue_start";"<b>Recover lost files</b>
	
Search for lost files on damaged hard drives, files on accidentially formatted hard drives or accidentially deleted files on hard drives. This function scans the drive on block level, thus usually finding many temporary and deleted files. For this reason the target device (where found files are stored) should be at least the size of the source device. ";"<b>Daten retten</b>

Suchen Sie nach verlorenen Dateien auf beschädigten Festplatten oder versehentlich formatierten Laufwerken. Diese Funktion untersucht das Laufwerk auf Blockebene und findet daher viele bereits gelöschte oder temporäre Dateien. Aus diesem Grund sollte das Ziellaufwerk (auf welchem die gefundenen Daten gespeichert werden) mindestens so groß wie das Quelllaufwerk sein.";
"source";"Source device";"Quelllaufwerk";
"target";"Target device";"Ziellaufwerk";
"rescue_running";"<b>Recovery in progress</b>
	
The selected drive is now scanned for lost files. Please be patient. To view more information on progress and the types of files already found, click on ""Show details"".";"<b>Rettung wird durchgeführt</b>
	
Das ausgewählte Laufwerk wird nun nach verlorenen oder gelöschten Dateien durchsucht. Klicken Sie auf ""Details anzeigen"", um weitere Informationen zum Fortschritt und den bereits gefundenen Dateien zu erhalten.";
"details";"Show details";"Details anzeigen";
"start_label";"<b>Recover lost files</b>
Search for lost files on damaged hard drives, files on accidentially formatted hard drives or accidentially deleted files on hard drives.";"<b>Daten retten</b>
Suchen Sie nach verlorenen Dateien auf beschädigten Festplatten oder versehentlich formatierten Laufwerken.";
"rescue_settings";"<b>Settings for file recovery</b>";"<b>Einstellungen für die Datenrettung</b>";
"file-types";"Limit recovery to certain file types";"Rettung auf bestimmte Dateitypen einschränken";
"search-opts";"Options for recovery";"Optionen für Datenrettung";
"rescue_vte";"<b>Recovery in progress - Details</b>
	
The terminal below shows the number of files already found and the estimated remaining time for recovery. Press ""OK"" to return to the progress bar.";"<b>Rettung wird durchgeführt - Details</b>
	
Das Terminal unten zeigt, wieviele Dateien bereits gefunden wurden und welche Restzeit für die Suche zu erwarten ist. Klicken Sie auf ""OK"" um zurück zum Fortschrittsbalken zu gelangen.";
"file-types-all";"All known file types";"Alle bekannten Dateitypen";
"sort-afterwards";"Sort recovered files afterwards";"Wiederhergestellte Dateien anschließend sortieren";
"pgcount";"Recovered FILECOUNT files";"FILECOUNT Dateien wiederhergestellt";
"pgdone";"File recovery finished";"Die Datenrettung ist abgeschlossen.";
"rescuehead";"Starting file recovery";"Starte Datenrettung";
"path_mp3";"/asorted/MP3";"/sortiert/MP3";
"path_picture";"/asorted/Photos";"/sortiert/Fotos";
"path_presentation";"/asorted/Office/Slides";"/sortiert/Office/Praesentationen";
"path_wordproc";"/asorted/Office/Text";"/sortiert/Office/Textverarbeitung";
"path_spreadsheet";"/asorted/Office/Spreadsheet";"/sortiert/Office/Tabellenkalkulation";
"really_kill_text";"Do you really want to cancel the file recovery?";"Wollen Sie die Datenrettung wirklich abbrechen?";
"really_kill_title";"Really cancel?";"Wirklich abbrechen?";
"search_cancelled_text";"File recovery was cancelled.";"Die Datenrettung wurde abgebrochen.";
"search_cancelled_title";"Cancelled";"Abgebrochen";
"search_done_text";"File recovery successfully finished. Change to the desktop mode or boot another operating system to view the recovered filed";"Die Datenrettung wurde erfolgreich durchgeführt. Bitte wechseln Sie in den Desktopmodus oder starten Sie Windows, um die geretteten Dateien zu öffnen.";
"search_done_title";"Done";"Fertig";
"srctgt_nomatch_title";"Invalid target";"Ungültiges Ziel";
"srctgt_nomatch_text";"Source and target must be on different devices!";"Quelle und Ziel müssen auf unterschiedlichen Laufwerken liegen!";
"tgt_mountfail_title";"Mount failed";"Laufwerkseinbindung fehlgeschlagen";
"tgt_mountfail_text";"Mounting the target device failed. This is usually caused by a damaged filesystem or active hibernation.";"Die Einbindung des Ziellaufwerkes ist fehlgeschlagen. Ursache hierfür ist meist ein beschädigtes Dateisystem oder aktives Hibernation.";
"backup_medium";"Backup partition";"Backup-Laufwerk";
